,Ticker,Denominação social,Nome de pregão,CNPJ
,AALR3,Alliar,CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42771949000135
,ABCB4,Abc Brasil,BCO ABC BRASIL S.A.,28195667000106
,ABEV3,Ambev S/A,AMBEV S.A.,07526557000100
,AERI3,Aeris,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,12528708000107
,AESB3,AES Brasil,AES BRASIL ENERGIA S.A.,37663076000107
,AESO3,Aesoperacoes,AES BRASIL OPERAÇÕES SA ,00194724000113
,AFLT3,Afluente T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,10338320000100
,AGRO3,Brasilagro,BRASILAGRO – CIA BRAS DE PROP AGRICOLAS,07628528000159
,AGXY3,Agrogalaxy,AGROGALAXY PARTICIPAÇÕES S.A.,21240146000184
,AHEB3,SPturis,SAO PAULO TURISMO S.A.,62002886000160
,AHEB5,SPturis,SAO PAULO TURISMO S.A.,62002886000160
,AHEB6,SPturis,SAO PAULO TURISMO S.A.,62002886000160
,ALLD3,Allied,ALLIED TECNOLOGIA S.A.,20247322000147
,ALPA3,Alpargatas,ALPARGATAS S.A.,61079117000105
,ALPA4,Alpargatas,ALPARGATAS S.A.,61079117000105
,ALPK3,Estapar,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,60537263000166
,ALSO3,Alianscsonae,ALIANSCE SONAE SHOPPING CENTERS S.A.,05878397000132
,ALUP11,Alupar,ALUPAR INVESTIMENTO S/A,08364948000138
,ALUP3,Alupar,ALUPAR INVESTIMENTO S/A,08364948000138
,ALUP4,Alupar,ALUPAR INVESTIMENTO S/A,08364948000138
,AMAR3,Lojas Marisa,MARISA LOJAS S.A.,61189288000189
,AMBP3,Ambipar,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,12648266000124
,AMER3,Americanas,AMERICANAS S.A,00776574000156
,ANIM3,Anima,ANIMA HOLDING S.A.,09288252000132
,APER3,Alper S.A.,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,11721921000160
,APTI3,Aliperti,SIDERURGICA J. L. ALIPERTI S.A.,61156931000178
,APTI4,Aliperti,SIDERURGICA J. L. ALIPERTI S.A.,61156931000178
,ARML3,Armac,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,00242184000104
,ARZZ3,Arezzo Co,AREZZO INDÚSTRIA E COMÉRCIO S.A.,16590234000176
,ASAI3,Assai,SENDAS DISTRIBUIDORA S.A.,06057223000171
,ATMP3,Atmasa,ATMA PARTICIPAÇÕES S.A.,04032433000180
,ATOM3,Atompar,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,00359742000108
,AURA33,Aura 360,AURA MINERALS INC.,07857093000114
,AURE3,AUREN,AUREN ENERGIA S.A.,28594234000123
,AVLL3,Alphaville,ALPHAVILLE S.A.,16811931000100
,AZEV3,Azevedo,AZEVEDO E TRAVASSOS S.A.,61351532000168
,AZEV4,Azevedo,AZEVEDO E TRAVASSOS S.A.,61351532000168
,AZUL4,Azul,AZUL S.A.,09305994000129
,B3SA3,B3,"B3 S.A. – BRASIL, BOLSA, BALCÃO",09346601000125
,BAHI3,Bahema,BAHEMA EDUCAÇÃO S.A.,45987245000192
,BALM3,Baumer,BAUMER S.A.,61374161000130
,BALM4,Baumer,BAUMER S.A.,61374161000130
,BAUH3,Excelsior,EXCELSIOR ALIMENTOS S.A.,95426862000197
,BAUH4,Excelsior,EXCELSIOR ALIMENTOS S.A.,95426862000197
,BAZA3,Amazonia,BCO AMAZONIA S.A.,04902979000144
,BBAS3,Brasil,BCO BRASIL S.A.,00000000000191
,BBDC3,Bradesco,BCO BRADESCO S.A.,60746948000112
,BBDC4,Bradesco,BCO BRADESCO S.A.,60746948000112
,BBML3,Bbmlogistica,BBM LOGISTICA S.A.,01107327000120
,BBSE3,BBSeguridade,BB SEGURIDADE PARTICIPAÇÕES S.A.,17344597000194
,BDLL3,Bardella,BARDELLA S.A. INDUSTRIAS MECANICAS,60851615000153
,BDLL4,Bardella,BARDELLA S.A. INDUSTRIAS MECANICAS,60851615000153
,BEEF3,Minerva,MINERVA S.A.,67620377000114
,BEES3,Banestes,BANESTES S.A. – BCO EST ESPIRITO SANTO,28127603000178
,BEES4,Banestes,BANESTES S.A. – BCO EST ESPIRITO SANTO,28127603000178
,BETP3B,Betapart,BETAPART PARTICIPACOES S.A.,02762124000130
,BGIP3,Banese,BCO ESTADO DE SERGIPE S.A. – BANESE,13009717000146
,BGIP4,Banese,BCO ESTADO DE SERGIPE S.A. – BANESE,13009717000146
,BIOM3,Biomm,BIOMM S.A.,04752991000110
,BLAU3,Blau,BLAU FARMACÊUTICA S.A.,58430828000160
,BMEB3,Merc Brasil,BCO MERCANTIL DO BRASIL S.A.,17184037000110
,BMEB4,Merc Brasil,BCO MERCANTIL DO BRASIL S.A.,17184037000110
,BMGB4,Banco BMG,BANCO BMG S.A.,61186680000174
,BMIN3,Merc Invest,BCO MERCANTIL DE INVESTIMENTOS S.A.,34169557000172
,BMIN4,Merc Invest,BCO MERCANTIL DE INVESTIMENTOS S.A.,34169557000172
,BMKS3,Bic Monark,BICICLETAS MONARK S.A.,56992423000190
,BMOB3,Bemobi Tech,BEMOBI MOBILE TECH S.A.,09042817000105
,BNBR3,Nord Brasil,BCO NORDESTE DO BRASIL S.A.,07237373000120
,BOAS3,Boa Vista,BOA VISTA SERVIÇOS S.A.,11725176000127
,BOBR3,Bombril,BOMBRIL S.A.,50564053000103
,BOBR4,Bombril,BOMBRIL S.A.,50564053000103
,BPAC11,Btgp Banco,BCO BTG PACTUAL S.A.,30306294000145
,BPAC3,Btgp Banco,BCO BTG PACTUAL S.A.,30306294000145
,BPAC5,Btgp Banco,BCO BTG PACTUAL S.A.,30306294000145
,BPAN12,Banco Pan,BCO PAN S.A.,59285411000113
,BPAN4,Banco Pan,BCO PAN S.A.,59285411000113
,BPAR3,Banpara,BCO ESTADO DO PARA S.A.,04913711000108
,BRAP3,Bradespar,BRADESPAR S.A.,03847461000192
,BRAP4,Bradespar,BRADESPAR S.A.,03847461000192
,BRBI11,BR Partners,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,10739356000103
,BRFS3,BRF SA,BRF S.A.,01838723000127
,BRGE11,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRGE12,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRGE3,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRGE5,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRGE6,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRGE7,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRGE8,Alfa Consorc,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17193806000146
,BRIT3,Brisanet,BRISANET PARTICIPAÇÕES S.A.,19796586000170
,BRIV3,Alfa Invest,BCO ALFA DE INVESTIMENTO S.A.,60770336000165
,BRIV4,Alfa Invest,BCO ALFA DE INVESTIMENTO S.A.,60770336000165
,BRKM3,Braskem,BRASKEM S.A.,42150391000170
,BRKM5,Braskem,BRASKEM S.A.,42150391000170
,BRKM6,Braskem,BRASKEM S.A.,42150391000170
,BRPR3,BR Propert,BR PROPERTIES S.A.,06977751000149
,BRQB3,Brq,BRQ SOLUCOES EM INFORMATICA S.A.,36542025000164
,BRSR3,Banrisul,BCO ESTADO DO RIO GRANDE DO SUL S.A.,92702067000196
,BRSR5,Banrisul,BCO ESTADO DO RIO GRANDE DO SUL S.A.,92702067000196
,BRSR6,Banrisul,BCO ESTADO DO RIO GRANDE DO SUL S.A.,92702067000196
